File,Transcription
phrase_apple_301,æpəl
phrase_apple_303,bæpəl
phrase_apple_306,æpoʊ
phrase_apple_307,æpəl
phrase_apple_310,æpəl
phrase_apple_311,æpəl
phrase_apple_314,æpəl
phrase_apple_316,æpəl
phrase_apple_319,æpəl
phrase_apple_322,æpəl
phrase_apple_323,æpəl
phrase_apple_326,æpə
phrase_apple_recast_317,næpoʊ
phrase_book_303,bʊk
phrase_book_305,bʊk
phrase_book_307,bʊk
phrase_book_310,bʊk
phrase_book_311,bʊk
phrase_book_314,bʊk
phrase_book_315,bʊk
phrase_book_319,buk
phrase_book_321,bʊk
phrase_book_323,bʊk
phrase_book_326,bʊk
phrase_book_recast_317,bʊk
phrase_cat_303,kæ
phrase_cat_304,kæt
phrase_cat_307,kæt
phrase_cat_309,kæt
phrase_cat_311,kæt
phrase_cat_314,kæt
phrase_cat_315,kæt
phrase_cat_319,kɛt
phrase_cat_320,kæt
phrase_cat_323,kæt
phrase_cat_325,kæt
phrase_cat_recast_326,kæ
phrase_chicken_303,t͡ʃɪkən
phrase_chicken_304,t͡ʃɪkən
phrase_chicken_307,t͡ʃɪkən
phrase_chicken_308,t͡ʃɪkən
phrase_chicken_311,t͡ʃɪkən
phrase_chicken_315,t͡ʃɪkən
phrase_chicken_318,t͡ʃɪkən
phrase_chicken_323,t͡ʃɪki
phrase_chicken_324,t͡ʃɪkən
phrase_chicken_recast_312,tɪtən
phrase_chicken_recast_313,t͡ʃɪtsjən
phrase_chicken_recast_320,t͡ʃɪkən
phrase_couch_302,kaʊt͡ʃ
phrase_couch_304,kaʊt͡ʃ
phrase_couch_307,kaʊt͡ʃ
phrase_couch_308,kaʊt͡ʃ
phrase_couch_311,kaʊt͡ʃ
phrase_couch_312,kɑs
phrase_couch_315,kaʊt͡ʃ
phrase_couch_318,kaʊt͡ʃ
phrase_couch_321,kaʊt͡ʃ
phrase_couch_325,kaʊt͡ʃ
phrase_couch_326,kaʊt͡ʃ
phrase_couch_recast_324,kaʊt͡ʃ
phrase_dog_301,dɔg
phrase_dog_304,dɑg
phrase_dog_308,dɑg
phrase_dog_310,dɑg
phrase_dog_313,dɑg
phrase_dog_314,dɑg
phrase_dog_318,dɑg
phrase_dog_319,dɑg
phrase_dog_322,dɑg
phrase_dog_324,dɑg
phrase_dog_326,dɑg
phrase_dog_recast_317,dɑ
phrase_face_316,feɪs
phrase_fish_303,fɪʃ
phrase_fish_304,fɪʃ
phrase_fish_307,fiʃ
phrase_fish_309,fɪʃ
phrase_fish_311,fɪʃ
phrase_fish_314,fɪʃ
phrase_fish_315,fɪʃ
phrase_fish_319,fɪʃ
phrase_fish_320,fɪʃ
phrase_fish_323,fɪs
phrase_fish_325,fɪʃ
phrase_fish_recast_317,fɪʃ
phrase_game_303,geɪm
phrase_game_305,geɪm
phrase_game_308,geɪm
phrase_game_309,geɪm
phrase_game_312,gim
phrase_game_314,geɪm
phrase_game_316,geɪm
phrase_game_320,geɪp
phrase_game_321,geɪm
phrase_game_325,geɪm
phrase_game_326,geɪm
phrase_game_recast_323,geɪm
phrase_hammer_302,hæmər
phrase_hammer_304,hæmə
phrase_hammer_307,hæmoʊ
phrase_hammer_308,hæmər
phrase_hammer_311,hæmər
phrase_hammer_312,hæmə
phrase_hammer_315,hæmər
phrase_hammer_318,hæmər
phrase_hammer_321,hæmə
phrase_hammer_324,hæmər
phrase_hammer_325,pæmər
phrase_hammer_recast_319,hɛmər
phrase_hat_301,kæt
phrase_hat_304,hæt
phrase_hat_306,pæt
phrase_hat_308,hæt
phrase_hat_311,æt
phrase_hat_312,hæt
phrase_hat_315,hæt
phrase_hat_316,hʌt
phrase_hat_320,hɑt
phrase_hat_322,hæt
phrase_hat_324,hæt
phrase_hat_recast_317,hæt
phrase_house_301,haʊs
phrase_house_304,haʊs
phrase_house_305,haʊs
phrase_house_308,haʊs
phrase_house_310,haʊs
phrase_house_312,hɑs
phrase_house_315,haʊs
phrase_house_316,haʊs
phrase_house_321,haʊs
phrase_house_322,haʊs
phrase_house_325,haʊs
phrase_house_recast_317,haʊs
phrase_juice_301,d͡ʒus
phrase_juice_304,d͡ʒus
phrase_juice_305,d͡ʒus
phrase_juice_309,d͡ʒus
phrase_juice_310,d͡ʒus
phrase_juice_313,dus
phrase_juice_315,d͡ʒus
phrase_juice_318,d͡ʒuʃ
phrase_juice_321,d͡ʒus
phrase_juice_322,dus
phrase_juice_recast_307,d͡ʒus
phrase_juice_recast_317,d͡ʒus
phrase_knife_301,naɪf
phrase_knife_303,naɪf
phrase_knife_305,naɪv
phrase_knife_308,naɪf
phrase_knife_309,naɪf
phrase_knife_312,naɪf
phrase_knife_313,naɪf
phrase_knife_316,naɪf
phrase_knife_319,naɪf
phrase_knife_321,naɪf
phrase_knife_324,naɪf
phrase_knife_325,naɪf
phrase_lion_301,laɪən
phrase_lion_302,laɪən
phrase_lion_305,laɪən
phrase_lion_307,laɪən
phrase_lion_309,laɪən
phrase_lion_312,laɪlən
phrase_lion_313,laɪlɪŋ
phrase_lion_316,laɪən
phrase_lion_318,laɪən
phrase_lion_321,laɪən
phrase_lion_323,waɪən
phrase_lion_325,laɪən
phrase_magic_301,mæd͡ʒɪk
phrase_magic_302,mæd͡ʒɪk
phrase_magic_305,mɑd͡ʒɪk
phrase_magic_306,mæd͡ʒɪk
phrase_magic_309,mæd͡ʒɪk
phrase_magic_312,mɑdik
phrase_magic_315,mæd͡ʒɪk
phrase_magic_320,bæd͡ʒɪk
phrase_magic_321,mæd͡ʒɪk
phrase_magic_325,mæd͡ʒɪk
phrase_magic_recast_311,mæd͡ʒər
phrase_magic_recast_318,mæd͡ʒɪk
phrase_magic_recast_326,mæd͡ʒɪk
phrase_money_302,mʌni
phrase_money_305,mʌni
phrase_money_306,mʌni
phrase_money_309,mʌni
phrase_money_310,mʌni
phrase_money_313,mʌhi
phrase_money_315,mʌni
phrase_money_318,mʌni
phrase_money_322,mʌni
phrase_money_323,mʌni
phrase_money_326,mʌni
