File,Transcription
phrase_apple_301,æpəl
phrase_apple_304,æpəl,
phrase_apple_306,æpoʊ,
phrase_apple_308,æpəl,
phrase_apple_311,æpəl,
phrase_apple_312,æpə,
phrase_apple_315,næpʌ,
phrase_apple_316,æpəl,
phrase_apple_320,æpəhl,
phrase_apple_322,æpəl,
phrase_apple_324,æpəl,
phrase_apple_recast_317,æpʌl,
phrase_book_301,bʊk,
phrase_book_304,bʊk,
phrase_book_305,bʊk,
phrase_book_308,bʊk,
phrase_book_310,bʊk,
phrase_book_312,poʊk,
phrase_book_315,bʌk,
phrase_book_316,bʊk,
phrase_book_320,bʊk,
phrase_book_321,bʌk,
phrase_book_324,boʊk,
phrase_book_326,bʊk,
phrase_cat_301,kæt,
phrase_cat_304,kæʔ,
phrase_cat_305,kæʔ,
phrase_cat_308,kæʔ,
phrase_cat_309,kɛt,
phrase_cat_312,kθæt,
phrase_cat_314,kæt,
phrase_cat_316,kæʔ,
phrase_cat_320,kɛt,
phrase_cat_321,kæʔ,
phrase_cat_324,kæt,
phrase_cat_325,kæt,
phrase_chicken_301,tʃɪkɪn,
phrase_chicken_303,tʃɪkən,
phrase_chicken_305,ʃɪkən,
phrase_chicken_308,tʃɪkən,
phrase_chicken_309,tʃɪkɪn,
phrase_chicken_314,tʃɪkən,
phrase_chicken_315,tʃɪkɪn,
phrase_chicken_321,tʃɪk,
phrase_chicken_323,tʃɪki,
phrase_chicken_325,tʃɪkən,
phrase_chicken_recast_313,tʃɪkən,
phrase_chicken_recast_317,tʃɪkən,
phrase_couch_301,kaʊtʃ,
phrase_couch_302,gaʊtʃ,
phrase_couch_305,koʊtʃ,
phrase_couch_307,kaʊtʃ,
phrase_couch_309,kaʊtʃ,
phrase_couch_312,kəθ,
phrase_couch_313,kaʊʔʃ,
phrase_couch_316,kətʃ,
phrase_couch_318,kaʊtʃ,
phrase_couch_322,kaʊtʃ,
phrase_couch_325,kaʊtʃ,
phrase_couch_recast_317,kætʃ,
phrase_dog_301,dɑg,
phrase_dog_302,dɑg,
phrase_dog_305,dɑg,
phrase_dog_308,dɑg,
phrase_dog_311,dɑg,
phrase_dog_313,dag,
phrase_dog_315,dɑk,
phrase_dog_319,dɑgə,
phrase_dog_320,dɑk,
phrase_dog_323,dɔg,
phrase_dog_324,dɑg,
phrase_dog_recast_306,dʒɑg,
phrase_dog_recast_317,dɑ,
phrase_fish_301,fɪʃ,
phrase_fish_304,fɪʃ,
phrase_fish_305,fɪʃ,
phrase_fish_308,fɪʃ,
phrase_fish_309,fɪʃ,
phrase_fish_312,fiʃ,
phrase_fish_314,fɪʃ,
phrase_fish_316,fɪʃ,
phrase_fish_320,fɪʃ,
phrase_fish_321,fɪʃ,
phrase_fish_324,fɪʃ,
phrase_fish_325,fɪʃ,
phrase_game_301,geɪm,
phrase_game_303,geɪm,
phrase_game_306,geɪm,
phrase_game_309,geɪm,
phrase_game_310,geɪm,
phrase_game_313,gim,
phrase_game_314,geɪm,
phrase_game_318,geɪm,
phrase_game_320,geɪm,
phrase_game_322,geɪm,
phrase_game_326,geɪm,
phrase_game_recast_304,gɪ,
phrase_hammer_301,hæmər,
phrase_hammer_302,hæmər,
phrase_hammer_305,hɛmər,
phrase_hammer_307,hæmo,
phrase_hammer_309,hæmɛr,
phrase_hammer_312,hæmə,
phrase_hammer_313,hæmo,
phrase_hammer_316,hæmər,
phrase_hammer_318,hæmər,
phrase_hammer_322,hæmʌ,
phrase_hammer_324,hɛmər,
phrase_hammer_326,hæmʌ,
phrase_hat_301,hæt,
phrase_hat_302,hæʔ,
phrase_hat_305,hæʔ,
phrase_hat_306,hæt,
phrase_hat_309,hæʔ,
phrase_hat_311,æʔ,
phrase_hat_313,hæt,
phrase_hat_316,hɛt,
phrase_hat_318,hæt,
phrase_hat_321,hæʔ,
phrase_hat_322,hæt,
phrase_hat_325,hæʔ,
phrase_hat_recast_317,hɛt,
phrase_house_302,haʊs,
phrase_house_305,haʊs,
phrase_house_306,haʊs,
phrase_house_309,haʊs,
phrase_house_310,haʊs,
phrase_house_313,haʊs,
phrase_house_315,haʊs,
phrase_house_318,haʊʃ,
phrase_house_322,haʊs,
phrase_house_323,haʊs,
phrase_house_326,haʊs,
phrase_house_recast_317,haʊθ,
phrase_juice_302,dʒus,
phrase_juice_304,dʒuʃ,
phrase_juice_306,dʒus,
phrase_juice_310,dʒus,
phrase_juice_311,dʒuʃ,
phrase_juice_314,dʒus,
phrase_juice_315,dʒəs,
phrase_juice_319,dʒuz,
phrase_juice_321,dʒus,
phrase_juice_324,dʒus,
phrase_juice_recast_317,dʒus,
phrase_juice_recast_323,dʒus,
phrase_knife_302,naɪf,
phrase_knife_303,naɪf,
phrase_knife_306,naɪf,
phrase_knife_308,naɪf,
phrase_knife_310,naɪf,
phrase_knife_313,naɪf,
phrase_knife_314,neɪf,
phrase_knife_318,naɪf,
phrase_knife_319,naɪf,
phrase_knife_322,naɪf,
phrase_knife_324,naɪf,
phrase_knife_326,naɪf,
phrase_lion_302,laɪɪn,
phrase_lion_303,waɪən,
phrase_lion_306,laɪjɪn,
phrase_lion_307,laɪən,
phrase_lion_310,laɪɪn,
phrase_lion_312,laɪən,
phrase_lion_314,laɪən,
phrase_lion_318,laɪən,
phrase_lion_319,laɪn,
phrase_lion_322,waɪən,
phrase_lion_323,waɪən,
phrase_lion_recast_317,læn,
phrase_magic_301,mædʒɪk,
phrase_magic_303,mædʒɪ,
phrase_magic_306,mætʃɪk,
phrase_magic_307,mædʒɪk,
phrase_magic_310,mædʒɪk,
phrase_magic_312,mædik,
phrase_magic_316,mædʒɪk,
phrase_magic_320,mætʃɪk,
phrase_magic_322,mætɪk,
phrase_magic_recast_311,mædɪk,
phrase_magic_recast_314,mædʒɪk,
phrase_magic_recast_323,mætʃək,
phrase_magic_recast_326,mædʒɪk,
phrase_money_303,mən,
phrase_money_305,mʌni,
phrase_money_307,mʌni,
phrase_money_310,mʌni,
phrase_money_311,mʌni,
phrase_money_314,mʌni,
phrase_money_315,mʌni,
phrase_money_320,mʌni,
phrase_money_322,mʌni,
phrase_money_324,mʌni,
phrase_money_recast_317,mʌni,
phrase_money_recast_319,mʌni,
phrase_mouth_303,maʊf,
phrase_mouth_304,maʊθ,
phrase_mouth_307,maʊf,
phrase_mouth_309,maʊθ,
phrase_mouth_311,aʊθ,
phrase_mouth_314,maʊθ,
phrase_mouth_315,maʊθ,
phrase_mouth_320,bæθ,
phrase_mouth_321,mæθ,
phrase_mouth_325,maʊf,
phrase_mouth_recast_319,maʊs,
phrase_mouth_recast_326,mæf,
phrase_page_303,peɪdʒ,
phrase_page_304,peɪtʃ,
phrase_page_307,peɪtʃ,
phrase_page_308,peɪdʒ,
phrase_page_311,feɪdʒ,
phrase_page_313,pfɪʃ,
phrase_page_315,peɪdʒ,
phrase_page_321,pɪtʃ,
phrase_page_322,peɪtʃ,
phrase_page_325,peɪdʒ,
phrase_page_recast_317,peɪtʃ,
phrase_page_recast_326,peɪdʒ,
phrase_potato_302,pəteɪdoʊ,
phrase_potato_304,pʌteɪdoʊ,
phrase_potato_308,pəteɪdoʊ,
phrase_potato_309,pəteɪdoʊ,
phrase_potato_315,pəteɪdoʊ,
phrase_potato_316,pətədoʊ,
phrase_potato_320,pʌteɪdoʊ,
phrase_potato_323,pəteɪtoʊ,
phrase_potato_326,bʌteɪdoʊ,
phrase_potato_recast_311,vʌtedo,
phrase_potato_recast_313,bətitu,
phrase_potato_recast_325,pʌteɪdoʊ,
phrase_puzzle_301,pʌzʌl,
phrase_puzzle_304,pʌzʌl,
phrase_puzzle_306,pʌzəl,
phrase_puzzle_308,pʌzəl,
phrase_puzzle_311,pʌzʌ,
phrase_puzzle_312,bʌʃu,
phrase_puzzle_315,pʌzəl,
phrase_puzzle_316,pʌzəl,
phrase_puzzle_320,pʌsəl,
phrase_puzzle_322,pʌðʌl,
phrase_puzzle_324,pʌzəl,
phrase_ring_301,rɪŋg,
phrase_ring_302,rɪŋ,
phrase_ring_305,ræŋ,
phrase_ring_306,wɪŋ,
phrase_ring_309,rɪŋ,
phrase_ring_311,rɪŋ,
phrase_ring_313,wiʔən,
phrase_ring_316,rɪŋk,
phrase_ring_318,rɪŋ,
phrase_ring_322,wɪŋ,
phrase_ring_323,miŋk,
phrase_ring_326,viŋ,
phrase_ring_recast_319,wɪm,
phrase_road_302,roʊd,
phrase_road_305,roʊd,
phrase_road_306,woʊd,
phrase_road_309,roʊd,
phrase_road_310,roʊd,
phrase_road_313,vodə,
phrase_road_315,roʊd,
phrase_road_318,ræud,
phrase_road_322,woʊd,
phrase_road_323,woʊd,
phrase_road_326,rod,
phrase_road_recast_317,ʒo,
phrase_shoes_302,ʃuz,
phrase_shoes_304,ʃus,
phrase_shoes_306,suz,
phrase_shoes_309,ʃuz,
phrase_shoes_310,ʃuz,
phrase_shoes_313,ʃos,
phrase_shoes_314,ʃuz,
phrase_shoes_318,ʃuz,
phrase_shoes_320,tʃus,
phrase_shoes_322,suz,
phrase_shoes_326,ʃuz,
phrase_shoes_recast_317,ʃuz,
phrase_sock_302,sɑk,
phrase_sock_303,sɑ,
phrase_sock_306,sɑk,
phrase_sock_308,sɑk,
phrase_sock_310,sɑk,
phrase_sock_313,ʃɑk,
phrase_sock_314,sɑk,
phrase_sock_318,sɑk,
phrase_sock_319,sʌk,
phrase_sock_322,sʌk,
phrase_sock_324,sɑk,
phrase_sock_326,sak,
phrase_table_302,teɪbəl,
phrase_table_303,teɪbəl,
phrase_table_306,teɪpəl,
phrase_table_307,teɪbəl,
phrase_table_310,teɪbəl,
phrase_table_312,tibu,
phrase_table_314,teɪbo,
phrase_table_318,teɪbo,
phrase_table_319,teɪbʌl,
phrase_table_322,teɪbol,
phrase_table_323,teɪbʌ,
phrase_table_326,teɪbʌ,
phrase_tape_302,teɪp,
phrase_tape_304,teɪp,
phrase_tape_307,tɛ,
phrase_tape_308,teɪp,
phrase_tape_311,teɪp,
phrase_tape_312,tip,
phrase_tape_315,teɪp,
phrase_tape_318,teɪp,
