File,Transcription
word_beach_310.wav,spitʃ 
phrase_apple_326.wav,æpəl 
word_wash_recast_317.wav,wɑʃ 
word_five_320.wav,faɪv 
word_toys_recast_317.wav,tɔɪz 
phrase_mouth_314.wav,maʊs 
word_beach_304.wav,spitʃ 
phrase_wave_311.wav,weɪz 
word_moon_314.wav,mun 
phrase_potato_312.wav,bɪɡ iɡəl 
phrase_potato_306.wav,pəteɪtoʊ 
word_five_308.wav,faɪv 
phrase_van_recast_306.wav,
phrase_wave_305.wav,sleɪvz 
word_water_316.wav,wɛðər 
word_honey_301.wav,hʌni 
word_honey_315.wav,hʌni 
word_water_302.wav,wɔtər 
word_video_recast_304.wav,vɪdioʊ 
word_magic_recast_311.wav,mædʒɪk 
phrase_ring_320.wav,ɡreɪt 
word_toys_320.wav,tɔɪz 
word_sing_311.wav,sɪŋ 
phrase_shoes_313.wav,ʃɔrz 
word_toys_308.wav,tɔɪz 
phrase_ring_308.wav,brɪŋ 
phrase_yellow_315.wav,jɛloʊ 
word_sing_305.wav,sɪŋ 
phrase_shoes_307.wav,tʃuz 
word_heavy_recast_323.wav,hɛvi 
phrase_book_319.wav,bʊk 
word_puzzle_311.wav,pʌzəl 
phrase_hammer_307.wav,kæməl 
phrase_hat_323.wav,
word_yell_320.wav,joʊ 
phrase_hammer_313.wav,nɔrməl 
word_puzzle_305.wav,pʌzəl 
word_apple_311.wav,æpəl 
phrase_book_325.wav,bʊk 
phrase_game_307.wav,ɡeɪm 
word_yell_308.wav,jɛl 
phrase_game_313.wav,stim 
phrase_teacher_307.wav,titʃər 
word_apple_305.wav,æpəl 
word_color_311.wav,kʌlər 
word_color_305.wav,kʌlər 
phrase_sock_323.wav,sɑk 
word_hammer_311.wav,hæmər 
phrase_knife_309.wav,naɪf 
word_chair_310.wav,tʃɛr 
phrase_puzzle_307.wav,pʌzəl 
word_chair_304.wav,tʃɛr 
phrase_puzzle_313.wav,fæstər 
word_hammer_305.wav,hæmər 
word_thumb_325.wav,sæm 
word_kitchen_316.wav,kɪtʃən 
phrase_knife_321.wav,naɪf 
word_kitchen_302.wav,kɪtʃən 
word_nose_303.wav,nɝrs 
phrase_lion_322.wav,laɪən 
phrase_thumb_312.wav,ðɛn 
word_web_304.wav,wɛb 
word_web_310.wav,wɛb 
phrase_thumb_306.wav,fʌn 
